Benefit,CPT Codes,State Specific,HCPCS Codes,ICD-10 PCS Codes
Physician's Office,"99202 - 99205, 99211 - 99215, 99242 - 99245","98940 - 98943, 99202 - 99205, 99211 - 99215, 99242 - 99245",G0463,N/A
Urgent Care,"99202 - 99205, 99211 - 99215, 99242 - 99245",,G0463,N/A
Emergency Room,99281-99285,,G0380 - G0384,N/A
Telemedicine Treatment,"99202 - 99205, 99211 - 99215, 99242 - 99245 (codes in these range only if modifier '95' is present), 99421 - 99423, 99437 - 99443, 99446 - 99452, ",,"G0071, G0406-G0408, G2251 - G2252",N/A
Ambulance: Ground or Water,,,"A0021, A0225, A0425-A0429, A0888, A0998, A0999",
Ambulance: Air,,,"A0430 - A0431, A0435 - A0436, A0888, A0998, A0999",
Short-Stay Observation,99221 - 99239,,G0378 (4-20 units),
Blood Products,N/A,,P9010 - P9099,"30233H0, 30233H1, 30233K0, 30233K1, 30233L0, 30233L1, 30233M0, 30233M1, 30233N0, 30233N1, 30233P0, 30233P1, 30233Q0, 30233Q1, 30233R0, 30233R1, 30243H0, 30243H1, 30243K0, 30243K1, 30243L0, 30243L1, 30243M0, 30243M1, 30243N0, 30243N1, 30243P0, 30243P1, 30243Q0, 30243Q1, 30243R0, 30243R1, 30273H1, 30273J1, 30273K1, 30273L1, 30273M1, 30273N1, 30273P1, 30273Q1, 30273R1, 30277H1, 30277K1, 30277L1, 30277M1, 30277N1, 30277P1, 30277Q1, 30277R1, 6A550Z0,  6A550Z1, 6A550Z2, 6A550Z3, 6A551Z0, 6A551Z1, 6A551Z2, 6A551Z3, XW13325, XW14325,"
X-ray,"70010 - 70330, 70350 - 70355, 70373 - 70390, 71010 - 71130, 72010 - 72120, 72170 - 72190, 72200 - 72295, 73500 - 73610, 73620 - 73660, 74000 - 74022, 74190, 74210, 74221, 74230, 74235, 74250, 74251 ,74270, 74280, 74410, 74415, 74425, 74430, 74440, 74710, 75552 - 75556, 75600 - 75891, 75894 - 75896, 76100, 76120, 76125, 76499, 77071, 77077, 77086, ",,N/A,"B00B0ZZ, B00B1ZZ, B00BYZZ, B00BZZZ, B2000ZZ, B2001ZZ, B200YZZ, B2010ZZ, B2011ZZ, B201YZZ, B2020ZZ, B2021ZZ, B202YZZ, B2030ZZ, B2031ZZ, B203YZZ, B2040ZZ, B2041ZZ, B204YZZ, B2050ZZ, B2051ZZ, B205YZZ, B2060ZZ, B2061ZZ, B206YZZ, B2070ZZ, B2071ZZ, B207YZZ, B2080ZZ, B2081ZZ, B208YZZ, B20F0ZZ, B20F1ZZ, B20FYZZ, B3000ZZ, B3001ZZ, B300YZZ, B300ZZZ, B3010ZZ, B3011ZZ, B301YZZ, B301ZZZ, B3020ZZ, B3021ZZ, B302YZZ, B302ZZZ, B3030ZZ, B3031ZZ, B303YZZ, B303ZZZ, B3040ZZ, B3041ZZ, B304YZZ, B304ZZZ, B3050ZZ, B3051ZZ, B305YZZ, B305ZZZ, B3060ZZ, B3061ZZ, B306YZZ, B306ZZZ, B3070ZZ, B3071ZZ, B307YZZ, B307ZZZ, B3080ZZ, B3081ZZ, B308YZZ, B308ZZZ, B3090ZZ, B3091ZZ, B309YZZ, B309ZZZ, B30B0ZZ, B30B1ZZ, B30BYZZ, B30BZZZ, B30C0ZZ, B30C1ZZ, B30CYZZ, B30CZZZ, B30D0ZZ, B30D1ZZ, B30DYZZ, B30DZZZ, B30F0ZZ,B30F1ZZ, B30FYZZ, B30FZZZ, B30G0ZZ, B30G1ZZ, B30GYZZ, B30GZZZ, B30H0ZZ, B30H1ZZ, B30HYZZ, B30HZZZ, B30J0ZZ, B30J1ZZ, B30JYZZ, B30JZZZ, B30K0ZZ, B30K1ZZ, B30KYZZ, B30KZZZ, B30L0ZZ, B30L1ZZ, B30LYZZ, B30LZZZ, B30M0ZZ, B30M1ZZ, B30MYZZ, B30MZZZ, B30N0ZZ, B30N1ZZ, B30NYZZ, B30NZZZ, B30P0ZZ, B30P1ZZ, B30PYZZ, B30PZZZ, B30Q0ZZ, B30Q1ZZ, B30QYZZ, B30QZZZ, B30R0ZZ, B30R1ZZ, B30RYZZ, B30RZZZ, B30S0ZZ, B30S1ZZ, B30SYZZ, B30SZZZ, B30T0ZZ, B30T1ZZ, B30TYZZ, B30TZZZ, B4000ZZ, B4001ZZ, B400YZZ, B4020ZZ, B4021ZZ, B402YZZ, B4030ZZ, B4031ZZ, B403YZZ, B4040ZZ, B4041ZZ, B404YZZ, B4050ZZ, B4051ZZ, B405YZZ, B4060ZZ, B4061ZZ, B406YZZ, B4070ZZ, B4071ZZ, B407YZZ, B4080ZZ, B4081ZZ, B408YZZ, B4090ZZ, B4091ZZ, B409YZZ, B40B0ZZ, B40B1ZZ, B40BYZZ, B40C0ZZ, B40C1ZZ, B40CYZZ, B40D0ZZ, B40D1ZZ, B40DYZZ, B40F0ZZ, B40F1ZZ, B40FYZZ, B40G0ZZ, B40G1ZZ, B40GYZZ, B40J0ZZ, B40J1ZZ, B40JYZZ, B40M0ZZ, B40M1ZZ, B40MYZZ, B5000ZZ, B5001ZZ, B500YZZ, B5010ZZ, B5011ZZ, B501YZZ, B5020ZZ, B5021ZZ, B502YZZ, B5030ZZ, B5031ZZ, B503YZZ, B5040ZZ, B5041ZZ, B504YZZ, B5050ZZ, B5051ZZ, B505YZZ, B5060ZZ, B5061ZZ, B506YZZ, B5070ZZ, B5071ZZ, B507YZZ, B5080ZZ, B5081ZZ, B508YZZ, B5090ZZ, B5091ZZ, B509YZZ, B50B0ZZ, B50B1ZZ, B50BYZZ, B50C0ZZ, B50C1ZZ, B50CYZZ, B50D0ZZ, B50D1ZZ, B50DYZZ, B50F0ZZ, B50F1ZZ, B50FYZZ, B50G0ZZ, B50G1ZZ, B50GYZZ, B50H0ZZ, B50H1ZZ, B50HYZZ, B50J0ZZ, B50J1ZZ, B50JYZZ, B50K0ZZ, B50K1ZZ, B50KYZZ, B50L0ZZ, B50L1ZZ, B50LYZZ, B50M0ZZ, B50M1ZZ, B50MYZZ, B50N0ZZ, B50N1ZZ, B50NYZZ, B50P0ZZ, B50P1ZZ, B50PYZZ, B50Q0ZZ, B50Q1ZZ, B50QYZZ, B50R0ZZ, B50R1ZZ, B50RYZZ, B50S0ZZ, B50S1ZZ, B50SYZZ, B50T0ZZ, B50T1ZZ, B50TYZZ, B50V0ZZ, B50V1ZZ, B50VYZZ, B50W0ZZ, B50W1ZZ, B50WYZZ, B7000ZZ, B7001ZZ, B700YZZ, B7010ZZ, B7011ZZ, B701YZZ, B7040ZZ, B7041ZZ, B704YZZ, B7050ZZ, B7051ZZ, B705YZZ, B7060ZZ, B7061ZZ, B706YZZ, B7070ZZ, B7071ZZ, B707YZZ, B7080ZZ, B7081ZZ, B708YZZ, B7090ZZ, B7091ZZ, B709YZZ, B70B0ZZ, B70B1ZZ, B70BYZZ, B70C0ZZ, B70C1ZZ, B70CYZZ, B8000ZZ, B8001ZZ, B800YZZ, B8010ZZ, B8011ZZ, B801YZZ, B8020ZZ, B8021ZZ, B802YZZ, B803ZZZ, B804ZZZ, B805ZZZ, B806ZZZ, B807ZZZ, B902ZZZ, B9040ZZ, B9041ZZ, B904YZZ, B9050ZZ, B9051ZZ, B905YZZ, B9060ZZ, B9061ZZ, B906YZZ, B9070ZZ, B9071ZZ, B907YZZ, B9080ZZ, B9081ZZ, B908YZZ, B9090ZZ, B9091ZZ, B909YZZ, B90B0ZZ, B90B1ZZ, B90BYZZ, B90C0ZZ, B90C1ZZ, B90CYZZ, B90D0ZZ, B90D1ZZ, B90DYZZ, B90FZZZ, B90HZZZ, BB07YZZ, BB08YZZ, BB09YZZ, BB0DZZZ, BF000ZZ, BF001ZZ, BF00YZZ, BF030ZZ, BF031ZZ, BF03YZZ, BF0C0ZZ, BF0C1ZZ, BF0CYZZ, BH00ZZZ, BH01ZZZ, BH02ZZZ, BH030ZZ, BH031ZZ, BH03YZZ, BH03ZZZ, BH040ZZ, BH041ZZ, BH04YZZ, BH04ZZZ, BH050ZZ, BH051ZZ, BH05YZZ, BH05ZZZ, BH060ZZ, BH061ZZ, BH06YZZ, BH06ZZZ, BN00ZZZ, BN01ZZZ, BN02ZZZ, BN03ZZZ, BN04ZZZ, BN05ZZZ, BN06ZZZ, BN070ZZ, BN071ZZ, BN07YZZ, BN07ZZZ, BN080ZZ, BN081ZZ, BN08YZZ, BN08ZZZ, BN090ZZ, BN091ZZ, BN09YZZ, BN09ZZZ, BN0BZZZ, BN0CZZZ, BN0DZZZ, BN0GZZZ, BN0HZZZ, BN0JZZZ, BP00ZZZ, BP01ZZZ, BP02ZZZ, BP03ZZZ, BP04ZZZ, BP05ZZZ, BP06ZZZ, BP07ZZZ, BP080ZZ, BP081ZZ, BP08YZZ, BP08ZZZ, BP090ZZ, BP091ZZ, BP09YZZ, BP09ZZZ, BP0AZZZ,BP0BZZZ, BP0C0ZZ, BP0C1ZZ, BP0CYZZ, BP0CZZZ, BP0D0ZZ, BP0D1ZZ, BP0DYZZ, BP0DZZZ, BP0EZZZ, BP0FZZZ, BP0G0ZZ, BP0G1ZZ, BP0GYZZ, BP0GZZZ, BP0H0ZZ, BP0H1ZZ, BP0HYZZ, BP0HZZZ, BP0JZZZ, BP0KZZZ, BP0L0ZZ, BP0L1ZZ, BP0LYZZ, BP0LZZZ, BP0M0ZZ, BP0M1ZZ, BP0MYZZ, BP0MZZZ, BP0NZZZ, BP0PZZZ, BP0RZZZ, BP0SZZZ, BP0XZZZ, BP0YZZZ, BQ000ZZ, BQ001ZZ, BQ00YZZ, BQ00ZZ1, BQ00ZZZ, BQ010ZZ, BQ011ZZ, BQ01YZZ, BQ01ZZ1, BQ01ZZZ, BQ03ZZ1, BQ03ZZZ, BQ04ZZ1, BQ04ZZZ, BQ070ZZ, BQ071ZZ, BQ07YZZ, BQ07ZZZ, BQ080ZZ, BQ081ZZ, BQ08YZZ, BQ08ZZZ, BQ0DZZZ, BQ0FZZZ, BQ0G0ZZ, BQ0G1ZZ, BQ0GYZZ, BQ0GZZZ, BQ0H0ZZ, BQ0H1ZZ, BQ0HYZZ, BQ0HZZZ, BQ0JZZZ, BQ0KZZZ, BQ0LZZZ, BQ0MZZZ, BQ0PZZZ,BQ0QZZZ, BQ0VZZZ, BQ0WZZZ, BQ0X0ZZ, BQ0X1ZZ, BQ0XYZZ, BQ0Y0ZZ, BQ0Y1ZZ, BQ0YYZZ, BR00ZZ1, BR00ZZZ, BR010ZZ, BR011ZZ, BR01YZZ, BR01ZZZ, BR020ZZ, BR021ZZ, BR02YZZ, BR02ZZZ, BR030ZZ, BR031ZZ, BR03YZZ, BR03ZZZ, BR040ZZ, BR041ZZ, BR04YZZ, BR04ZZZ, BR050ZZ, BR051ZZ, BR05YZZ, BR05ZZZ, BR060ZZ, BR061ZZ, BR06YZZ, BR06ZZZ, BR07ZZ1, BR07ZZZ, BR08ZZZ, BR09ZZ1, BR09ZZZ, BR0BZZZ, BR0CZZZ, BR0D0ZZ, BR0D1ZZ, BR0DYZZ, BR0DZZZ, BR0FZZZ, BR0GZZ1, BR0GZZZ, BR0HZZZ, BT000ZZ, BT001ZZ, BT00YZZ, BT00ZZZ, BT010ZZ, BT011ZZ, BT01YZZ, BT01ZZZ, BT020ZZ, BT021ZZ, BT02YZZ, BT02ZZZ, BT030ZZ, BT031ZZ, BT03YZZ, BT03ZZZ, BT040ZZ, BT041ZZ, BT04YZZ, BT04ZZZ, BT050ZZ, BT051ZZ, BT05YZZ, BT05ZZZ, BT060ZZ BT061ZZ, BT06YZZ, BT06ZZZ, BT070ZZ, BT071ZZ, BT07YZZ, BT07ZZZ, BT080ZZ, BT081ZZ, BT08YZZ, BT08ZZZ, BT0B0ZZ, BT0B1ZZ, BT0BYZZ, BT0BZZZ, BT0C0ZZ, BT0C1ZZ, BT0CYZZ, BT0CZZZ, BU000ZZ, BU001ZZ, BU00YZZ, BU010ZZ, BU011ZZ, BU01YZZ, BU020ZZ, BU021ZZ, BU02YZZ, BU060ZZ, BU061ZZ, BU06YZZ, BU080ZZ, BU081ZZ, BU08YZZ, BU090ZZ, BU091ZZ, BU09YZZ, BV000ZZ, BV001ZZ, BV00YZZ, BV010ZZ, BV011ZZ, BV01YZZ, BV020ZZ, BV021ZZ, BV02YZZ, BV030ZZ, BV031ZZ, BV03YZZ, BV050ZZ, BV051ZZ, BV05YZZ, BV060ZZ, BV061ZZ, BV06YZZ, BV080ZZ, BV081ZZ, BV08YZZ, BW00ZZZ, BW01ZZZ, BW03ZZZ, BW0BZZZ, BW0CZZZ, BW0JZZZ, BW0KZZZ, BW0LZZZ, BW0MZZZ,"
